state	Tree Height	Time of maximum lineages	Slope ratio for LTT plot	Colless tree-imbalance	External/Internal ratio	
0	0.10689	0.008537000000000003	0.08679958923469548	0.23541247484909456	1.1937915753280512	
1	0.113520352485161	0.008266540845193418	0.07853911147151652	0.16780684104627766	0.844716920914824	
2	0.0862388613627434	0.009410743454290785	0.12249087587313415	0.2317907444668008	1.1386380002944645	
3	0.07212293703091747	0.00822717989626394	0.12875940853046047	0.19959758551307846	0.831455879046158	
4	0.09863756045622195	0.008636060975143953	0.09595463436650416	0.24869215291750502	1.0981067792281887	
5	0.08198953212735122	0.008958247686124937	0.12266315394376376	0.14124748490945674	0.7861257240927633	
6	0.08212809755695188	0.008550136404663997	0.11620512814927506	0.21327967806841044	1.0325553619544277	
7	0.09075229113931496	0.008256718130269625	0.10008680258956812	0.15533199195171027	1.058508953320115	
8	0.09802317957105325	0.008652411132356125	0.0968147782939916	0.22696177062374245	1.2764429109508133	
9	0.08542311058345269	0.008316276882294443	0.10785395383404939	0.16096579476861167	0.8523247597215797	
10	0.10128088718780237	0.00851794489641372	0.09182486762501557	0.2181086519114688	1.3566231363056045	
11	0.08638927842512163	0.008224187391350238	0.10521560561858696	0.15533199195171027	0.7251041280733828	
12	0.08780752246499163	0.008513368831422785	0.1073643949939165	0.22454728370221327	1.058398474082135	
13	0.11290556683841939	0.008328575340298974	0.07964060947812468	0.1090543259557344	0.9763355721302083	
14	0.12191941545140851	0.008514958957722835	0.07508487074488951	0.16539235412474848	1.1120190163391868	
15	0.09392898579037272	0.00832339688472146	0.09722959670185727	0.16941649899396377	0.8377064218008649	
16	0.11388143181222826	0.010984159142699318	0.10674878796813889	0.15653923541247486	0.9223700544961959	
17	0.13006991813225047	0.008310226574485255	0.06825104817666788	0.19396378269617706	1.2198214094965498	
18	0.11054157170170942	0.008511753810983638	0.08342417919533827	0.11388329979879275	0.926441294582551	
19	0.1436086402841762	0.008224840248575976	0.06075202680389523	0.21488933601609658	0.8219610746522482	
20	0.07699883972355322	0.011098051977330353	0.16840545245176441	0.1851106639839034	1.3937247280491147	
21	0.10026580613654769	0.008322068011802339	0.09051261327347068	0.1818913480885312	0.7675773394091102	
22	0.10808059894773897	0.008291080965666178	0.0830856900937799	0.1271629778672032	0.9036154465082077	
23	0.1170957313568009	0.008265376406521086	0.07594734401350801	0.13360160965794768	0.7963210457499404	
24	0.09174597980994095	0.010964967810343104	0.1357369453405423	0.14969818913480884	0.7335646323422051	
25	0.09370680696727718	0.008227608745904821	0.09625275993578135	0.14084507042253522	0.9380737623670433	
26	0.07819677418111308	0.008268328168983291	0.11823983858513125	0.16498993963782696	1.0475080480402539	
27	0.09925315589420346	0.011472106196877788	0.1306900092495396	0.12796780684104628	0.7178432106080035	
28	0.1126188486215657	0.008246614164466579	0.07901157053273823	0.21046277665995974	0.7656190507488433	
29	0.0767192849538817	0.008332617427549538	0.12184564227144244	0.16820925553319918	0.8551821901233546	
30	0.09528897342314516	0.008354161393850257	0.09609684772810125	0.16257545271629778	0.9054414021532226	
31	0.09463980532844932	0.00830210680833783	0.09615853735554394	0.18832997987927566	1.0105646069710856	
32	0.08697308773160534	0.008309477069047694	0.1056330493739063	0.2249496981891348	1.134971723245917	
33	0.10269705371905934	0.010969924957303742	0.11959302668021052	0.14567404426559355	0.7320161755169449	
34	0.08352385252815525	0.009032377786479667	0.12125384572936025	0.2482897384305835	0.9493770957737209	
35	0.08455743036464887	0.008254678094991225	0.10818322864447655	0.1227364185110664	0.873700873717111	
36	0.10755885904517351	0.008292327068478239	0.083535980388889	0.19114688128772636	1.0104515625014239	
37	0.08499234489274303	0.00923699745887993	0.1219319529481946	0.14567404426559355	1.34318965786154	
38	0.08184947119211256	0.008687138019907503	0.11873784833324336	0.21891348088531187	1.091961873858512	
39	0.097176846877663	0.008257555196232932	0.09286573295947029	0.1472837022132797	0.8043380171077666	
40	0.0922132412460789	0.008263933240911556	0.09843956355665118	0.16217303822937626	1.0081495707676449	
41	0.08563933789007816	0.008335632055160677	0.10782965661389465	0.17585513078470824	0.8382612481785211	
42	0.09825651218719862	0.008444861014863511	0.09402856872833891	0.1573440643863179	0.9409693944803449	
43	0.09059440139086003	0.008274128543256681	0.1005114324459819	0.19999999999999998	0.8576638354106968	
44	0.11426186840195922	0.009335326189788717	0.08897011178460341	0.1629778672032193	0.8404338357405908	
45	0.09081686936531455	0.008379923982053991	0.10165252900983394	0.20201207243460764	1.3748429322561038	
46	0.0922481859231367	0.00841980253120854	0.10044095079160602	0.1806841046277666	1.162351420321442	
47	0.10202344406487318	0.008282798217209925	0.0883586638678615	0.10704225352112676	0.825292640949767	
48	0.08520787217287977	0.008290544530025618	0.10778513482060414	0.19356136820925554	1.1476162075361631	
49	0.08240917866955344	0.00833862568605126	0.11257679806857297	0.13641851106639838	0.8118208291551802	
50	0.09357957800389491	0.008301889023802467	0.09735124301668743	0.16539235412474848	0.7366548761445809	
51	0.10017034280220143	0.00822512959800284	0.08945685491789417	0.23138832997987926	0.6923877350498416	
52	0.11976041251782304	0.00842949477133971	0.07571566768662497	0.17545271629778672	1.1580986749967022	
53	0.0998649580342644	0.008855747162621788	0.09730605372583374	0.16901408450704225	1.171663013764914	
54	0.08377732349830204	0.009319613477979827	0.12516653380067916	0.20603621730382293	1.1072327616362134	
55	0.10016598762391757	0.008254550001933841	0.08980982362481824	0.16498993963782696	0.8282339573432924	
56	0.07101273655670824	0.008288953713744204	0.13215009264502622	0.1476861167002012	0.9555719484740204	
57	0.12249840222493959	0.008485973649775685	0.07443025077025894	0.16901408450704225	0.912720606396719	
58	0.09803001757073763	0.008365199118196207	0.09329410645741519	0.14849094567404425	1.138104714515878	
59	0.11970890339737406	0.008296547754968867	0.07446703471200171	0.2140845070422535	0.7618778619359584	
60	0.10693264196996886	0.01122980446179915	0.11734035013163023	0.26156941649899396	1.2941127696438437	
61	0.10443878532754344	0.011249858101304439	0.12072097443500605	0.13360160965794768	0.9409249689213451	
62	0.08621526393211917	0.008270354678936526	0.1061051293558191	0.16981891348088532	1.1395525546234948	
63	0.10707713969044134	0.008273822329829997	0.08374032928097225	0.13722334004024145	0.9071265217935334	
64	0.10309710093480404	0.008351770737242928	0.08814968209861088	0.1505030181086519	0.9704109004622988	
65	0.08158744075439045	0.008243674780601937	0.11239775693476182	0.2575452716297787	1.2134018873521695	
66	0.07970223039556215	0.008436137979766029	0.11837520051676301	0.1585513078470825	0.8785194449205964	
67	0.11098191739057775	0.008511451717407914	0.08306248694677783	0.18993963782696177	1.075504625100806	
68	0.09048052592389133	0.008407780141607812	0.10244302248533693	0.16498993963782696	0.9504755539124748	
69	0.10084293750373158	0.011095339495306542	0.12362826127407854	0.23340040241448692	1.0980639535803198	
70	0.1131297118096767	0.008843829252032684	0.0848037053063655	0.1835010060362173	1.0970768466356606	
71	0.1431234989477835	0.008269629860449934	0.06132289652805131	0.21891348088531187	1.030093383150974	
72	0.1134673410110528	0.008261087364751785	0.07852277862231662	0.22937625754527163	1.7674035301069781	
73	0.10769995183706531	0.009039342114873186	0.09162057826650478	0.21891348088531187	1.1440894983518601	
74	0.09608641747470913	0.008344309219311799	0.09510039575323871	0.21327967806841044	1.069126082859814	
75	0.09935431080260575	0.008257809287676776	0.09064902768328023	0.15211267605633802	0.9340970100775154	
76	0.10314351633895005	0.012118628005654442	0.13313532405863573	0.1847082494969819	0.9717474547077756	
77	0.08761888712601106	0.008249081849664802	0.10393224250637276	0.20321931589537223	1.2816412331155316	
78	0.10471491267867875	0.008278548659696627	0.08584467844585175	0.19557344064386317	1.0476454504969805	
79	0.10614639136111775	0.009709634118042557	0.10068395491118376	0.14567404426559355	0.7654066307471535	
80	0.14274621448162075	0.009015403278520462	0.06741455613268169	0.19637826961770624	0.7418165626362083	
81	0.09243571129924286	0.008801130882237926	0.10523315640916928	0.21770623742454728	1.1164307909847386	
